[General]
Name|Lety
c400b67d-d8c7-425e-a794-c5dc9083e26e|Experimente qualquer coisa uma vez
c400b67d-d8c7-425e-a794-c5dc9083e26eDescription|Apresente Lety à pessoa que se sente experimental.
c400b67d-d8c7-425e-a794-c5dc9083e26eCompletedDetails|
c400b67d-d8c7-425e-a794-c5dc9083e26eFailedDetails|
4980354d-6757-414e-9019-06b94fe377b5|Interrompa o disruptor
4980354d-6757-414e-9019-06b94fe377b5Description|Impeça a introdução de Lety no curinga do grupo.
4980354d-6757-414e-9019-06b94fe377b5CompletedDetails|
4980354d-6757-414e-9019-06b94fe377b5FailedDetails|

[Events]
ca21f5d7-58da-4346-b233-ab69beae6096|Acho que preciso trabalhar mais com a Lety. Droga, ela é uma personagem opcional! Por que tenho que me esforçar tanto nisso?!
0a0d14c0-d1ac-41f2-8c8f-569a620dbe10|Não tenho certeza se o Frank vai conseguir nos ouvir... Eu deveria tentar aproximá-la um pouco mais dele.
b4267ae4-1e5c-4818-8b96-dfd075878051|"...tarde demais, ao que parece. Afinal, estar em chamas dificilmente será o tipo de "coisa" que ela normalmente faz. Provavelmente."
7dd2c5b3-62c1-446b-8905-a6ef4ea36fad|Espero que o Derek não fique traumatizado pela Lety. Eu também não gostaria que ele tentasse me encurralar. Ou... gostaria? Sim. Talvez.
5f8d5997-f645-491a-8471-d0076f9c26cd|Tem que ter alguma coisa que eu possa fazer aqui para salvar esse incêndio. Talvez a Lety realmente não entenda por que o Derek não gosta de ser tocado? Ou talvez o Derek precise de um amigo para acalmá-lo?
18721565-bb2f-4c60-80a6-44584616c61b|Como está indo a sessão de apalpadelas da Lety com o Derek? Bem, os dois são adultos, e outra mão talvez não ajude a situação...
3a02759a-1dd2-401b-a751-da7725810ae0|Você ouve passos pesados, seguidos por soluços de barítono e o que parece... um personagem de desenho animado decepcionado?
dab26c8c-dd34-4213-88b7-dafa227eb55d|Parece que Lety ainda está pensando em seu momento #derektoo. Voltarei a falar com ela em alguns...
9ea7b3c3-1abc-462a-8407-17591b3e3088|Parece que Lety está colocando algumas de suas novas habilidades sociais à prova. Que bom para ela. Volto em um minuto ou dois.
1348ab75-31a2-41d0-8ddd-0af202671de6|Parece que a Lety ainda está dando um tempo para se acostumar com a situação aqui e tudo mais. Volto em um minuto ou dois.
efba0eb3-1ca8-4eed-8311-52c5a50c79a9|Eu realmente deveria tentar aprender um pouco de espanhol hoje à noite, para poder agradecer à Madison por me deixar transar na cama dela hoje à noite.
96510322-0b23-493b-bf02-9078a12b4959|Acho que a Lety percebeu o quanto a Madison está ocupada agora. Preciso ver o que posso fazer para liberar a Mads.
9c043d96-3251-4669-9cae-3567f71384be|Hmm, pensei que Leah e Lety estivessem procurando um lugar isolado lá fora para conversar, mas... talvez uma delas tenha se assustado? Que diabos está acontecendo lá fora?
9cd8e5bd-54fe-4f56-839a-81683bd795e1|Embora a forma da Leah estivesse excelente, acho que ela provavelmente poderia ter salvado a Lety daquele golpe cósmico. Preciso dar uma olhada na Lety daqui a pouco... quando encontrar todos os dentes dela.
157c663c-5433-4ff1-864a-eba581f21d79|Parece que a Lety vai falar com a Madison daqui a pouco, a menos que... ela não estivesse tramando algo com... ou contra a Madison, certo?
67a476b8-d420-4c51-a534-39775ebfe984|Ok, parece que a Lety vai ficar ocupada por um tempo. Tenho outra coisa para fazer... ooooo, posso ir ver o que está acontecendo com aquele peixe...
143f403e-fdbb-4ded-b051-f9a6067d3bb5|Tudo bem, preciso ter certeza de que o Derek não está lidando com as coisas de mais ninguém... ou as minhas.
dc67d995-a23e-48a2-872c-164ded54d2c3|Parece que a Lety precisa de um tempinho a mais...
bf94f48f-93a3-4b2b-8412-1bc79c042d30|Hmm... Alguma das garotas da festa vai estar *tão* interessada assim na Lety? Tenho certeza de que consigo descobrir sem chatear ninguém!
32c95b62-f729-45bf-9ecf-bf17ccb47df4|Hmmm, a Brittney é uma verdadeira garota sulista, mas que presente agradaria a essa caipira fanática?
c90fd4cd-c419-4a32-8505-5275b8052d03|Computador apitando suspeitosamente...
5a0837ef-e44e-4aa8-8fa9-60d15da8efe7|Estou chegando perto! Se eu quisesse, poderia parar e enfeitar esse seu rostinho lindo...
de85f971-ad7b-4dea-8721-679838dd3ada|Tenho que entrar na fila para a foto do prêmio!
e1d93aea-8f61-4a97-8a89-3f43ca54553e|O computador emite um bipe suspeito...
ac5d578f-ac66-42b8-8d9f-76b4ad1c6ecf|Lety fala sobre aromas, algo sobre higiene do pescoço e da barba e alguma bobagem sobre... mocinhos?
ae3f8565-119a-4ceb-91a7-e63cca92c9c9|Lety mal percebe que isso é uma festa, muito menos que Leah não se importa com convenções. Ela deveria começar a pensar em um jeito de se salvar...
557e3bf3-050d-47e2-bb66-64690a14ce9a|Merda, Derek quase cansou... ou já não cansou? Poderia muito bem deixar Lety Weinstein fazer o que quer. Decisão difícil.
c0a4d81b-4f71-4404-8f85-98a1595e839f|Parece que Lety e Rachael estão conspirando para invadir a festa! Agora seria uma ótima hora para salvar o jogo...
6c6d8d8a-e441-4457-9d97-af6fa6696c86|Ei, você. É, você. Que tal um pouco de mágica? Digamos... dobrar a resistência sexual? Legal.
2ccb6778-1fc1-425c-8cc5-6db3e25971cc|Pronta ou não, aí vou eu!
cb32616c-d3d2-4f2b-9b8d-b1bdba88a1af|Puta merda... ponto sem volta!
bd2fb4ba-48a3-4dbb-88bc-9a5a9b177a83|Muito chato... é o fim! Ah, não, é... É "Roundabout" que estou ouvindo? Eu... acho que não consigo continuar!
3fad9680-b2e4-407b-894f-60a62a293e09|No momento, preciso ter certeza de que o quarto da Madison está vazio.
fb4a9e00-b604-4ee3-a9bc-1ed0c4295645|Você ouve o *baque* de uma porta de carro vindo de algum lugar à frente... será que é a Lety?
b49b4d01-c5d0-4047-ba93-f75d682e6c95|Hmm, acho que a Leah e a Lety estavam procurando um lugar isolado lá fora para conversar, mas... será que uma delas se assustou? Que diabos está acontecendo lá fora?
c6da6ae3-67cf-45d6-acbe-bf587fe6a2de|A Lety estava conversando com a Leah? O que diabos elas estavam olhando? Que diabos está acontecendo aí fora?
102c6fc1-49a1-4737-b1cd-63325e55d948|Hmm... Parece que a Leah está ocupada demais para ficar seguindo a Lety agora. Eu deveria ficar de olho nela quando estiver livre.
5c6177fb-28dd-4b38-ae55-afb674c9e1c5|Ah, bem, isso parece amigável. A Lety podia ser muito mais sociável do que demonstrava!
69970868-a73a-4d55-bb63-98e7146335f4|Foi engraçado? Talvez a Lety não precisasse de mim como babá, afinal.
36b24f37-e411-4531-b385-b61951432c63|Isso não parece bom... É melhor eu dar um jeito de salvar a Lety, só por precaução!
7e1be569-a1f5-455d-bfc6-94a0ac0a7a12|O que será que a Lety e a Leah estão falando agora?
1b67b4c3-d64e-45d6-a6f1-0f540e9b7ee9|Espero que a Lety e a Leah estejam bem... uh, que se danem elas. O que estou fazendo agora é MUITO mais importante!
850f7fc7-13c1-40fa-aa20-cacc5ce6ed46|Eu conheço a Leah bem o suficiente, e sei que aquele gênio levou a melhor sobre ela. Agora pode ser a hora de intervir.
cfb47736-ed0a-4fac-829e-377d438e1d49|Não conheço bem a Leah, mas ela parece ter um temperamento forte. Agora pode ser a hora de intervir.
81922bd9-6a4f-4d73-b480-6bb995586f47|Nossa, que surpresa!
3b3ac08e-0ae9-4f46-8a9c-ecf279a4f3e3|Ah, que diabos, Lety... você poderia falar mais alto?
6ac8e8fa-9d25-4880-bd3b-d21cda625d9f|Que som foi esse? Parecia o do Derek, mas... falsete?
746cca35-b955-4fbf-87ab-e1f599f63f92|Espero que o Derek não fique traumatizado pela Lety. Eu também não gostaria que ela tentasse me encurralar. Ou... e se eu tentar? É. Talvez.
abc1264b-55e5-45a4-8ee4-84cc873df8bf|Tem que ter alguma coisa que eu possa fazer aqui para salvar esse incêndio. Talvez a Lety realmente não entenda por que o Derek não gosta de ser apalpado? Ou talvez o Derek precise da confiança de um amigo?
7a8d8fc2-7b26-48f6-9670-0179755d22be|Gostaria de saber como está indo a sessão de apalpada da Lety com o Derek. Bem, os dois são adultos, e outra mão amiga não resolveria a situação...
8a68fe90-d096-421d-aa9a-e97a47ba6c92|Ouvem-se passos, seguidos de soluços de barítono e o que parece... um personagem de desenho animado decepcionado?!
b26a1636-456a-489f-9a90-0c6c5174760a|Hm, parece que Lety não está confortável em "massacrar" Derek agora... talvez se ela o convencesse a ir para outro lugar?
360183fe-d4fe-4dba-87e7-2cb7661c4d05|Eu ouvi...? Ah sim, é a Lety, gaguejando enquanto tenta conversar com Derek. Simplesmente brilhante. Talvez ela se sentisse mais confortável se o ambiente fosse diferente...
b1fc9043-31d4-473d-8188-4988d61db818|Uau! É isso aí, ainda bem que acabei com aquele jogo de verdade ou desafio!
03f79140-d3ab-4e44-b8f9-df6038aee8ec|Uau, é melhor eu pegar essas pimentas... Não acho que vidro no pé seja uma sensação particularmente sexy. Vidro apimentado, no entanto.
cd244481-9384-4e98-a029-306243d39a8d|Eu deveria ir ver como estão a Lety e a Brittney... Espero que elas tenham aproveitado ao máximo o momento a sós!
94c525ae-f39c-43b5-908a-6aa36dd94a01|Hã, qual é a parte mais importante de uma facial? Ah, é... um rosto. Que boba a minha.
bb63a243-fafd-4c18-9432-0ae8ed884429|Ugh, eles estão falando rápido demais e sobre... tentáculos? Um tentáculo chamado Tracy? Tanto faz, mas parece uma conexão bem profunda. Preciso tirar o Pat da jogada o mais rápido possível!
40e33354-6b44-4d73-9a1c-5173f8279cd7|Vou deixar o Patrick se esforçar ao máximo com a Lety... De qualquer forma, eu provavelmente perderia antes de encontrar um jeito de me livrar dele...
978abc97-29d8-4654-b6be-22d0b088f247|Droga, eles estão se saindo muito bem...
bd3d60db-b25e-4308-9ee4-f14fc31d9403|O que será que o Pat e a Lety vão fazer? Deixei os dois juntos por um tempo.
552c3c94-4407-4944-b0de-87da75a811a1|Droga, parece que eles estão terminando... Preciso agir agora!
fef63610-c211-49c8-99c8-db6bc7a12666|Patrick provavelmente já está a fim de Lety. Mais poder para ele, eu acho...
6cbfa443-2209-4d02-86dd-89b1d1bf201c|Perdi para Patrick. Perco na vida. Oh, droga, eu até consigo ouvir! O som do meu fracasso esmagador... parece... suado.
f9e9e4bd-458c-4f54-bf6c-d83502b2beb3|E nos estranhos estertores finais da paixão, Lety aprendeu o verdadeiro significado por trás da tradicional frase "com grande peso vem grande capacidade de sufocar". Hum. Eu fiz sexo. Eu... você, me desculpe, você não se arrepende de nada.
fc77cd0a-c24a-443d-8cee-8e24b23f9e23|Puta merda, tem algo muito importante rolando entre Patrick e Lety! Algo basicamente sexual, pelo que parece!

[Background Chatter]
BGC1|Você confia em um estranho para te ensinar todos os detalhes do comportamento social em uma festa, e ele te estraga completamente! Ah, não. Alguém quer falar sobre garotos? Ou garotas! Eu sou bi-conversacional.
BGC2|Hum, olá, pessoal da festa! Vamos brincar de girar a garrafa e construir fortes com nossos travesseiros! Peraí, droga, isso é para uma festa do pijama. Droga.
BGC3|Então, vocês estudam juntos ou fazem parte de um... time de dança? Quero saber mais, mas vocês parecem quase psicopatas, então estou tentando ir com calma.
BGC4|Sabe, o Sancho não é só uma obra de arte; ele vai se tornar parte da sua rotina. Você acorda, abre a porta do seu quarto para uma manhã nova e brilhante, e lá está o Sancho te chamando de fracassada! Depois de um longo dia, você sobe as escadas pronto para dormir, e lá está o Sancho pedindo para te preparar a salada!
BGC5|Então, tem alguma outra maneira de você pregar uma peça na sua irmã, ou esse peixe falastrão é só a primeira de uma longa série de pegadinhas que virão?
BGC6|Então, Derek, não sei se você percebeu, mas agora somos totalmente amigos. Isso significa que posso te convidar para as minhas campanhas de D&D? Um cara seria ótimo na nossa festa. Minha personagem traz uma boneca sexual em tamanho real só para garantir que ela fique satisfeita.
BGC7|Derek, quero que você saiba que levo toques inapropriados muito a sério. Já me denunciei à escola e aos outros tutores. Haverá um tribunal, que não sei bem o que é, mas acho que terei que lutar contra algum tipo de criatura em uma arena para me redimir.
BGC8|Brittney, que bom te ver de novo. Sou eu, Lety, do nosso escritório, tarde da noite, me divertindo!
BGC9|Ah, Brittney, que bom te ver de novo. Eu tenho... tem uma coisa que preciso dar uma olhada. Está ali... por favor, não surte de novo.
BGC10|Então... alguém viu minha bolsa? Ela é bem colorida e tem uma coisa meio Doctor Who, com ela maior por dentro! Parece até videogame, quanto mais eu penso...
BGC11|Alguém de vocês fala espanhol? Tipo, todos? Ah, tanto faz, só me deem boas avaliações online. Dar aulas particulares é um bom trabalho, e eu não posso mais ficar de braços cruzados, querida.
BGC12|A Ashley me disse que a palavra "ingênuo" estava escrita no teto, mas eu estava brincando, porque quando olhei para cima, vi um MP3 pendurado em... ah, merda, esqueci onde estava porque estava tentando encontrar onde a palavra "ingênuo" estava escrita.
BGC13|Aquela barra de chocolate lá em cima no escritório, alguém vai comer? O anfitrião da festa geralmente oferece comida de graça, certo? Deixa pra lá, vou deixar claro.
BGC14|Eca, eca, eca, eca! Não foi isso que eu quis dizer quando falei "fazer tudo"! Que bagunça, garoto!?!
BGC15|Ah, parece que você está fazendo Corona. Guacatela.
BGC16|Pode não ser aqui que eu vou, mas seu zíper parece ter se aberto de alguma forma... e aí, completamente sem querer, você ficou duro. Só pensei que você ia querer saber.
BGC17|Ah, aquele cara foi embora mesmo? Mas isso é tão, hum... explosiva! Tanto faz, azar dele!
BGC18|Dançar! É! Ouvi dizer que fazem isso em festas! Tentei dançar o robô uma vez, mas rompi um músculo do braço e não consegui dormir de lado por três semanas. Nunca mais vou tentar, mas gosto de ver as outras pessoas.
BGC19|Meu Deus! Esta festa ainda vem equipada com a dançarina mais sexy! Estou tão feliz que a Ashley me enganou para vir aqui hoje à noite. Ela sabia que eu nunca esqueceria esta noite incrível!
BGC20|Nossa, você fez isso no meio de uma festa. Isso... definitivamente não é coisa de cinema.
BGC21|Nossa, você fez isso no meio de uma festa. Isso é coisa de cinema, grandão?
BGC22|Oooh, aquecendo para mim? Boa ideia... você vai precisar!
BGC23|Nossa! As pessoas realmente se conectam no meio de uma festa. Eu não fazia ideia!
BGC24|Caramba, cara, você se mexe mesmo, né?
BGC25|Nossa... Tenho uma ideia que vai deixar isso ainda mais louco! Espero que tenhamos amantes de gigantas por aqui. Assuma a posição, Jogador Um!
BGC26|Nossa, você fez isso no meio de uma festa. Se importa se eu olhar para a garota?
BGC27|Eca, eca, eca, eca! Merdas como ESSA são a razão pela qual eu não vou a festas! E também por que não sou convidado.
